iter	Passed	Remaining
0	30	30315
1	65	32610
2	89	29879
3	124	30955
4	142	28335
5	178	29593
6	217	30917
7	248	30814
8	293	32359
9	330	32753
10	369	33212
11	405	33368
12	444	33721
13	482	33991
14	518	34050
15	555	34182
16	601	34788
17	620	33878
18	656	33915
19	669	32788
20	706	32947
21	745	33151
22	771	32766
23	808	32864
24	845	32979
25	882	33060
26	921	33224
27	940	32647
28	965	32331
29	1002	32422
30	1042	32581
31	1073	32464
32	1110	32553
33	1151	32725
34	1210	33376
35	1258	33705
36	1303	33918
37	1346	34082
38	1434	35355
39	1442	34615
40	1455	34047
41	1487	33926
42	1530	34060
43	1566	34034
44	1606	34087
45	1642	34065
46	1680	34070
47	1716	34049
48	1752	34009
49	1782	33860
50	1817	33821
51	1853	33792
52	1871	33438
53	1907	33418
54	1943	33394
55	1981	33399
56	2017	33371
57	2052	33337
58	2088	33303
59	2123	33270
60	2158	33228
61	2171	32846
62	2206	32810
63	2240	32766
64	2276	32742
65	2300	32557
66	2336	32537
67	2371	32501
68	2409	32512
69	2445	32488
70	2475	32389
71	2512	32385
72	2548	32357
73	2583	32329
74	2619	32309
75	2654	32268
76	2690	32248
77	2707	32005
78	2743	31980
79	2768	31840
80	2829	32107
81	2868	32109
82	2880	31827
83	2918	31830
84	2943	31690
85	2981	31683
86	2998	31465
87	3034	31449
88	3069	31420
89	3105	31399
90	3140	31369
91	3177	31358
92	3212	31326
93	3247	31301
94	3283	31276
95	3321	31276
96	3357	31259
97	3394	31240
98	3429	31209
99	3465	31187
100	3500	31158
101	3536	31138
102	3550	30923
103	3569	30752
104	3604	30726
105	3639	30692
106	3680	30714
107	3716	30693
108	3756	30703
109	3797	30726
110	3836	30726
111	3873	30708
112	3911	30706
113	3951	30706
114	3977	30610
115	4014	30593
116	4055	30608
117	4067	30402
118	4103	30376
119	4138	30347
120	4174	30328
121	4210	30298
122	4245	30269
123	4280	30241
124	4319	30239
125	4355	30213
126	4391	30189
127	4409	30036
128	4444	30006
129	4479	29978
130	4516	29958
131	4553	29943
132	4589	29917
133	4624	29883
134	4660	29859
135	4695	29829
136	4719	29726
137	4756	29710
138	4795	29701
139	4867	29899
140	4903	29872
141	4938	29839
142	4977	29828
